,1,2,3,4,5,sum,low_sum,high_sum,high_low_ratio
唯物論的世界観,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
呼べるだろう,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
合わなかった,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
取捨選択するもの,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
大変不愉快です,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
奴はいない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でますよ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でほしかった,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
できません,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
できようか,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
実は無内容,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
定義も曖昧,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
学者が著者,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でしかない,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,inf
でした…,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でしたが,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でしたね,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,inf
存在である,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
でしょうねえ,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
存在します,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ですからね,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ですねちょっと,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
姿である,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
妙ですね,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ですよねー,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
妄言を吐く,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
ではたまらない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
妄言が続く,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
では？,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
一切買わない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
・・？,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
性はない,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
はずもない,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の連続です,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の重み」,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
の釣りです,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,inf
